rank,course_name,location,edition,source_url
33,Peachtree,"Atlanta, GA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
34,The Golf Club,"New Albany, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
35,Southern Hills,"Tulsa, OK",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
36,Bandon Dunes,"Bandon, OR",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
37,San Francisco GC,"San Francisco, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
38,Bethpage Black,"Farmingdale, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
39,Baltusrol – Lower,"Springfield, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
40,Pikewood National,"Morgantown, WV",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
41,Sebonack,"Southampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
42,Castle Pines,"Castle Rock, CO",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
43,Victoria National,"Newburgh, IN",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
44,Erin Hills,"Hartford, WI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
45,Butler National,"Oak Brook, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
46,Garden City,"Garden City, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
47,Old Macdonald,"Bandon, OR",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
48,Medinah – No 3,"Medinah, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
49,Spyglass Hill,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
50,Ballyneal,"Holyoke, CO",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
51,TPC Sawgrass – Stadium,"Ponte Vedra Beach, FL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
52,The Camargo Club,"Cincinnati, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
53,Kinloch – USA,"Manakin Sabot, VA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
54,Interlachen,"Edina, MN",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
55,Whispering Pines,"Trinity, TX",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
56,Old Sandwich,"Plymouth, MA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
57,Scioto,"Columbus, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
58,Oak Tree National,"Edmond, OK",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
59,Dallas National,"Dallas, TX",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
60,Pete Dye GC,"Bridgeport, WV",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
61,Baltusrol – Upper,"Springfield, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
62,Winged Foot – East,"Mamaroneck, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
63,Canyata Golf Club,"Marshall, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
64,Somerset Hills,"Bernardsville, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
65,Monterey Peninsula CC – Shore,"Pebble Beach, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
66,Shoreacres,"Lake Bluff, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
67,Kittansett Club,"Marion, MA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
68,Arcadia Bluffs,"Arcadia, MI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
69,Spring Hill Golf Club,"Orono, MN",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
70,Bandon Trails,"Bandon, OR",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
71,Milwaukee CC,"River Hills, WI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
72,Maidstone,"East Hampton, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
73,Cherry Hills,"Englewood, CO",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
74,The Estancia Club,"Scottsdale, AZ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
75,Congressional – Blue,"Bethesda, MD",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
76,Quaker Ridge,"Scarsdale, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
77,Plainfield,"Edison, NJ",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
78,Aronimink,"Newtown Square, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
79,Olympia Fields – North,"Olympia Fields, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
80,The Valley Club,"Aurora, CO",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
81,Valhalla,"Louisville, KY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
82,Boston GC,"Hingham, MA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
83,Quarry at La Quinta,"La Quinta, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
84,Club at Black Rock,"Coeur d'Alene, ID",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
85,Hudson National,"Croton On Hudson, NY",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
86,Double Eagle,"Galena, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
87,Yeamans Hall,"Hanahan, SC",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
88,Rich Harvest Links,"Sugar Grove, IL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
89,Inverness,"Toledo, OH",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
90,Diamond Creek,"Banner Elk, NC",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
91,Essex County Club,"Manchester, MA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
92,Blackwolf Run – River,"Kohler, WI",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
93,The Preserve,"Vancleave, MS",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
94,Crooked Stick,"Carmel, IN",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
95,Laurel Valley,"Ligonier, PA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
96,Calusa Pines,"Naples, FL",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
97,Flint Hills National,"Andover, KS",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
98,Sahalee – South/North,"Redmond, WA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
99,Mayacama Golf Club,"Santa Rosa, CA",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
100,Eagle Point,"Wilmington, NC",2017-18,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2017
1,Pine Valley,"Pine Valley, NJ",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
2,Augusta National,"Augusta, GA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
3,Cypress Point,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
4,Shinnecock Hills,"Southampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
5,Oakmont,"Oakmont, PA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
6,Merion Golf Club,"Ardmore, PA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
7,Pebble Beach,"Pebble Beach, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
8,National Golf Links of America,"Southampton, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
9,Sand Hills,"Mullen, NE",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
10,Fishers Island,"Fishers Island, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
11,Winged Foot – West,"Mamaroneck, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
12,Seminole,"Juno Beach, FL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
13,Crystal Downs,"Frankfort, MI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
14,Chicago GC,"Wheaton, IL",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
15,Friar's Head,"Riverhead, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
16,Muirfield Village,"Dublin, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
17,Pacific Dunes,"Bandon, OR",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
18,Country Club – Brookline,"Pepper Pike, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
19,LA Country Club – North,"Beavercreek, OH",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
20,Oakland Hills – South,"Bloomfield Hills, MI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
21,Whistling Straits – Straits,"Sheboygan, WI",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
22,Oak Hill – East,"Rochester, NY",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
23,Riviera CC,"Pacific Palisades, CA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
24,Kiawah Island – Ocean,"Kiawah Island, SC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
25,Wade Hampton,"Cashiers, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
26,Shadow Creek,"North Las Vegas, NV",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
27,Prairie Dunes,"Hutchinson, KS",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
28,The Honors,"Ooltewah, TN",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
29,Pinehurst – No 2,"Pinehurst, NC",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
30,Peachtree,"Atlanta, GA",2019-20,https://www.planetgolf.com/rankings/usa/golf-digest-usa-top-100/2019
